RPeakID,RPeakTime,ParticipantID
89,51.903,22
90,52.463,22
91,53.019,22
92,53.562,22
93,54.109,22
94,54.659,22
95,55.204,22
96,55.752,22
97,56.307,22
98,56.865,22
99,57.418,22
100,57.983,22
101,58.563,22
102,59.144,22
103,59.716,22
104,60.283,22
105,60.856,22
106,61.423,22
107,61.925,22
1,0.374,23
2,1.154,23
3,1.927,23
4,2.666,23
5,3.391,23
6,4.125,23
7,4.849,23
8,5.542,23
9,6.243,23
10,6.938,23
11,7.621,23
12,8.296,23
13,8.976,23
14,9.659,23
15,10.342,23
16,11.009,23
17,11.661,23
18,12.293,23
19,12.946,23
20,13.624,23
21,14.335,23
22,15.071,23
23,15.826,23
24,16.554,23
25,17.272,23
26,17.971,23
27,18.642,23
28,19.31,23
29,19.972,23
30,20.646,23
31,21.333,23
32,22.031,23
33,22.734,23
34,23.438,23
35,24.148,23
36,24.86,23
37,25.54,23
38,26.197,23
39,26.853,23
40,27.51,23
41,28.189,23
42,28.876,23
43,29.585,23
44,30.288,23
45,30.979,23
46,31.671,23
47,32.36,23
48,33.032,23
49,33.683,23
50,34.327,23
51,34.971,23
52,35.621,23
53,36.275,23
54,36.972,23
55,37.681,23
56,38.391,23
57,39.119,23
58,39.843,23
59,40.557,23
60,41.271,23
61,41.965,23
62,42.642,23
63,43.318,23
64,43.994,23
65,44.677,23
66,45.381,23
67,46.105,23
68,46.819,23
69,47.525,23
70,48.239,23
71,48.941,23
72,49.63,23
73,50.314,23
74,50.985,23
75,51.654,23
76,52.326,23
77,52.998,23
78,53.655,23
79,54.311,23
80,54.961,23
81,55.598,23
82,56.226,23
83,56.857,23
84,57.506,23
85,58.166,23
86,58.821,23
87,59.481,23
88,60.149,23
89,60.815,23
90,61.482,23
91,62.149,23
92,62.646,23
1,0.414,24
2,1.09,24
3,1.733,24
4,2.382,24
5,3.045,24
6,3.724,24
7,4.454,24
8,5.232,24
9,6.02,24
10,6.798,24
11,7.592,24
12,8.375,24
13,9.117,24
14,9.872,24
15,10.595,24
